Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.0347261225	0.0347261225	0.0347261225	0.0347261225	0	0	0	0	0	0	3
2	2	0	0.05	19842.1383	9921.08651	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
3	2	0	0.075	9007.19361	9616.45554	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
4	2	0	0.1	3070.40274	7979.94234	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
5	2	0	0.125	1598.25465	6703.6048	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
6	2	0	0.15	1506.23409	5837.37635	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
7	2	0	0.175	1872.32919	5270.94104	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
8	3	0	0.2	3225.29217	5015.23493	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
9	3	0	0.225	4130.01917	4916.87763	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
10	3	0	0.25	4748.83244	4900.07311	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
11	3	0	0.275	5430.43909	4948.2882	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
12	3	0	0.3	5853.54808	5023.72652	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
13	3	0	0.325	5888.87567	5090.27645	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
14	3	0	0.35	2465.56621	4902.79715	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
15	3	0	0.375	2057.42766	4713.10585	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
16	3	0	0.4	1031.37869	4482.9979	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
17	4	0	0.425	913.037445	4273.00023	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
18	4	0	0.45	437.994884	4059.94438	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
19	4	0	0.475	275.179669	3860.74624	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
20	4	0	0.5	244.607451	3679.9393	0.0347261225	19842.1383	9921.05178	0	0	0	0	0	3
21	4	0	0.525	145.441949	3687.20966	145.441949	19842.1383	6241.14721	0	0	0	0	0	3
22	4	0	0.55	914.46237	2740.82586	145.441949	9007.19361	6875.62968	0	0	0	0	0	3
23	4	0	0.575	801.59145	2330.54575	145.441949	5888.87567	5649.39658	0	0	0	0	0	3
24	4	0	0.6	4523.43823	2403.19753	145.441949	5888.87567	4373.05905	0	0	0	0	0	3
25	5	0	0.625	8200.53514	2733.31155	145.441949	8200.53514	3506.8306	0	0	0	0	0	3
