Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	2	0	0.05	293.195247	293.197623	293.195247	293.2	0.00237654732	0	0	0	0	0	3
3	2	0	0.075	293.198549	293.197932	293.195247	293.2	0.00237654732	0	0	0	0	0	3
4	2	0	0.1	293.199461	293.198314	293.195247	293.2	0.00237654732	0	0	0	0	0	3
5	2	0	0.125	293.199715	293.198594	293.195247	293.2	0.00237654732	0	0	0	0	0	3
6	2	0	0.15	293.19974	293.198785	293.195247	293.2	0.00237654732	0	0	0	0	0	3
7	2	0	0.175	293.199642	293.198908	293.195247	293.2	0.00237654732	0	0	0	0	0	3
8	3	0	0.2	293.199306	293.198957	293.195247	293.2	0.00237654732	0	0	0	0	0	3
9	3	0	0.225	293.199079	293.198971	293.195247	293.2	0.00237654732	0	0	0	0	0	3
10	3	0	0.25	293.198923	293.198966	293.195247	293.2	0.00237654732	0	0	0	0	0	3
11	3	0	0.275	293.198751	293.198947	293.195247	293.2	0.00237654732	0	0	0	0	0	3
12	3	0	0.3	293.199515	293.198994	293.195247	293.2	0.00237654732	0	0	0	0	0	3
13	3	0	0.325	293.199907	293.199064	293.195247	293.2	0.00237654732	0	0	0	0	0	3
14	3	0	0.35	293.203874	293.199408	293.195247	293.203874	0.00237654732	0	0	0	0	0	3
15	3	0	0.375	293.201385	293.19954	293.195247	293.203874	0.00237654732	0	0	0	0	0	3
16	3	0	0.4	293.202179	293.199705	293.195247	293.203874	0.00237654732	0	0	0	0	0	3
17	4	0	0.425	293.201372	293.199803	293.195247	293.203874	0.00237654732	0	0	0	0	0	3
18	4	0	0.45	293.202035	293.199927	293.195247	293.203874	0.00237654732	0	0	0	0	0	3
19	4	0	0.475	293.201662	293.200018	293.195247	293.203874	0.00239455037	0	0	0	0	0	3
20	4	0	0.5	293.201452	293.20009	293.195247	293.203874	0.00246626599	0	0	0	0	0	3
21	4	0	0.525	293.201556	293.200168	293.195247	293.203874	0.00254408492	0	0	0	0	0	3
22	4	0	0.55	293.20063	293.200437	293.198549	293.203874	0.00250462831	0	0	0	0	0	3
23	4	0	0.575	293.201367	293.200578	293.198751	293.203874	0.0022633262	0	0	0	0	0	3
24	4	0	0.6	293.199261	293.200568	293.198751	293.203874	0.00198320264	0	0	0	0	0	3
25	5	0	0.625	293.198539	293.200509	293.198539	293.203874	0.00179225933	0	0	0	0	0	3
26	5	0	0.65	293.201738	293.200609	293.198539	293.203874	0.00170099543	0	0	0	0	0	3
27	5	0	0.675	293.200706	293.200662	293.198539	293.203874	0.00171527131	0	0	0	0	0	3
28	5	0	0.7	293.20331	293.200862	293.198539	293.203874	0.00191547417	0	0	0	0	0	3
29	5	0	0.725	293.203733	293.201095	293.198539	293.203874	0.00214814866	0	0	0	0	0	3
30	5	0	0.75	293.205129	293.201405	293.198539	293.205129	0.0024584291	0	0	0	0	0	3
31	5	0	0.775	293.205766	293.201756	293.198539	293.205766	0.00276182032	0	0	0	0	0	3
32	5	0	0.8	293.205385	293.202049	293.198539	293.205766	0.00298510538	0	0	0	0	0	3
33	6	0	0.825	293.20445	293.202276	293.198539	293.205766	0.00286867884	0	0	0	0	0	3
34	6	0	0.85	293.207589	293.202462	293.198539	293.207589	0.00292262484	0	0	0	0	0	3
35	6	0	0.875	293.20906	293.202846	293.198539	293.20906	0.0031413557	0	0	0	0	0	3
36	6	0	0.9	293.206651	293.20307	293.198539	293.20906	0.00326688443	0	0	0	0	0	3
37	6	0	0.925	293.211708	293.203586	293.198539	293.211708	0.00365970477	0	0	0	0	0	3
38	6	0	0.95	293.213911	293.20418	293.198539	293.213911	0.00416217641	0	0	0	0	0	3
39	6	0	0.975	293.218993	293.205047	293.198539	293.218993	0.00495700066	0	0	0	0	0	3
40	7	0	1	293.218463	293.205897	293.198539	293.218993	0.00572971828	0.00252732941	0	44.1	0	0	3
41	7	0	1.025	293.223279	293.206983	293.198539	293.223279	0.00654672283	0.00305702301	0	46.6	0	0	3
42	7	0	1.05	293.223449	293.208124	293.198539	293.223449	0.00761556298	0.00306750776	0	40.2	0	0	3
43	7	0	1.075	293.224924	293.209302	293.198539	293.224924	0.00879343427	0.00313175862	0	35.6	0	0	3
44	7	0	1.1	293.230842	293.210328	293.198539	293.230842	0.00981911953	0.00334667804	0	34	0	0	3
45	7	0	1.125	293.233056	293.211937	293.198539	293.233056	0.0114283821	0.00353035309	0	30.8	0	0	3
46	7	0	1.15	293.236646	293.213752	293.200706	293.236646	0.0131430863	0.00372673774	0	28.3	0	0	3
47	7	0	1.175	293.23894	293.215523	293.200706	293.23894	0.0148614058	0.00390750551	0	26.2	0	0	3
48	8	0	1.2	293.241259	293.217454	293.20331	293.241259	0.0165923155	0.00407890538	0	24.5	0	0	3
49	8	0	1.225	293.242508	293.219321	293.203733	293.242508	0.018226242	0.00422936354	0	23.2	0	0	3
50	8	0	1.25	293.2427	293.221177	293.20445	293.2427	0.0197715247	0.00435209254	0	22	0	0	3
51	8	0	1.275	293.243235	293.222991	293.20445	293.243235	0.0212353781	0.00445852677	0	20.9	0	0	3
52	8	0	1.3	293.244335	293.224828	293.20445	293.244335	0.0227784669	0.00455854072	0	20	0	0	3
53	8	0	1.325	293.245561	293.226741	293.20445	293.245561	0.0244644542	0.00465482216	0	19	0	0	3
54	8	0	1.35	293.245989	293.228719	293.206651	293.245989	0.0262567619	0.00474113092	0	18	0	0	3
55	8	0	1.375	293.245866	293.230542	293.206651	293.245989	0.0276957445	0.00481593184	0	17.3	0	0	3
56	9	0	1.4	293.245512	293.232278	293.206651	293.245989	0.029207986	0.00488138264	0	16.7	0	0	3
57	9	0	1.425	293.244674	293.234088	293.211708	293.245989	0.0305017731	0.00493913336	0	16.1	0	0	3
58	9	0	1.45	293.243026	293.235579	293.213911	293.245989	0.0313993076	0.00499046732	0	15.8	0	0	3
59	9	0	1.475	293.241497	293.236893	293.218463	293.245989	0.0275262726	0.00503639771	0	18.2	0	0	3
60	9	0	1.5	293.239371	293.237864	293.218463	293.245989	0.0275262726	0.00507773506	0	18.4	0	0	3
61	9	0	1.525	293.237885	293.238788	293.223279	293.245989	0.0227098647	0.00511513552	0	22.5	0	0	3
62	9	0	1.55	293.236176	293.239402	293.223449	293.245989	0.022540159	0.00514913594	0	22.8	0	0	3
63	9	0	1.575	293.233645	293.239888	293.224924	293.245989	0.0210650706	0.0051801798	0	24.5	0	0	3
64	9	0	1.6	293.231527	293.240202	293.230842	293.245989	0.0151476842	0.00520863667	0	34.3	0	0	3
65	10	0	1.625	293.230044	293.240164	293.230044	293.245989	0.0159449041	0.005234817	0	32.8	0	0	3
66	10	0	1.65	293.226656	293.23986	293.226656	293.245989	0.019333256	0.00524868465	0	27.1	0	0	3
67	10	0	1.675	293.226081	293.239357	293.226081	293.245989	0.0199085883	0.00526152508	0	26.4	0	0	3
68	10	0	1.7	293.22469	293.238678	293.22469	293.245989	0.0212996602	0.00526195826	0	24.7	0	0	3
69	10	0	1.725	293.223715	293.237843	293.223715	293.245989	0.020881385	0.00526055929	0	25.1	0	0	3
70	10	0	1.75	293.223253	293.236926	293.223253	293.245989	0.0190258218	0.00525630094	0	27.6	0	0	3
71	10	0	1.775	293.222601	293.235969	293.222601	293.245989	0.0172112159	0.00525231731	0	30.5	0	0	3
72	10	0	1.8	293.222374	293.234975	293.222374	293.245989	0.0153746053	0.00524858267	0	34.1	0	0	3
73	11	0	1.825	293.222476	293.233934	293.222374	293.245989	0.0134614902	0.00524507436	0	38.9	0	0	3
74	11	0	1.85	293.222784	293.23285	293.222374	293.245989	0.0114834104	0.00523377148	0	45.5	0	0	3
75	11	0	1.875	293.223241	293.231766	293.222374	293.245866	0.00966070512	0.00522311448	0	54	0	0	3
76	11	0	1.9	293.2238	293.230716	293.222374	293.245512	0.00948686451	0.00521304953	0	54.9	0	0	3
77	11	0	1.925	293.22433	293.229707	293.222374	293.244674	0.0104955164	0.00518664086	0	49.4	0	0	3
78	11	0	1.95	293.224725	293.228757	293.222374	293.243026	0.0114454627	0.00515445986	0	45	0	0	3
79	11	0	1.975	293.224796	293.227889	293.222374	293.241497	0.0123135688	0.00510950592	0	41.4	0	0	3
80	11	0	2	293.224717	293.22709	293.222374	293.239371	0.0131126204	0.00506679968	0	38.6	0	0	3
81	12	0	2.025	293.224893	293.2264	293.222374	293.237885	0.0138020637	0.00501439038	0	36.3	0	0	3
82	12	0	2.05	293.224094	293.225744	293.222374	293.236176	0.0138018928	0.00496447676	0	35.9	0	0	3
83	12	0	2.075	293.223008	293.225117	293.222374	293.233645	0.0112707457	0.0049168847	0	43.6	0	0	3
84	12	0	2.1	293.222962	293.224608	293.222374	293.231527	0.00915335732	0.00487145591	0	53.2	0	0	3
85	12	0	2.125	293.221635	293.224137	293.221635	293.230044	0.00840978326	0.00483007606	0	57.4	0	0	3
86	12	0	2.15	293.22057	293.223686	293.22057	293.226656	0.00608627147	0.00479335568	0	78.7	0	0	3
87	12	0	2.175	293.219485	293.223344	293.219485	293.226081	0.00659605279	0.00476105065	0	72.1	0	0	3
88	12	0	2.2	293.218936	293.223004	293.218936	293.224893	0.00595712136	0.00473150477	0	79.4	0	0	3
89	13	0	2.225	293.217257	293.22265	293.217257	293.224893	0.00763548975	0.0047073972	0	61.6	0	0	3
90	13	0	2.25	293.216374	293.222301	293.216374	293.224893	0.00851839606	0.00468643584	0	55	0	0	3
91	13	0	2.275	293.215741	293.221943	293.215741	293.224893	0.00915185932	0.00466783127	0	51	0	0	3
92	13	0	2.3	293.215673	293.221613	293.215673	293.224893	0.00921968758	0.00465010344	0	50.4	0	0	3
93	13	0	2.325	293.215201	293.221271	293.215201	293.224893	0.00969216857	0.00463414612	0	47.8	0	0	3
94	13	0	2.35	293.214609	293.220897	293.214609	293.224893	0.0102839014	0.00462013383	0	44.9	0	0	3
95	13	0	2.375	293.214535	293.220504	293.214535	293.224893	0.0103574748	0.00460651989	0	44.4	0	0	3
96	13	0	2.4	293.21473	293.220099	293.214535	293.224893	0.0103574748	0.00459261049	0	44.3	0	0	3
97	14	0	2.425	293.214113	293.219637	293.214113	293.224893	0.0100695367	0.00457828921	0	45.4	0	0	3
98	14	0	2.45	293.213984	293.219145	293.213984	293.224893	0.00961226782	0.00456122456	0	47.4	0	0	3
99	14	0	2.475	293.214097	293.218639	293.213984	293.224893	0.00925026614	0.00454153691	0	49	0	0	3
100	14	0	2.5	293.214199	293.218134	293.213984	293.224893	0.00895582217	0.00451812681	0	50.4	0	0	3
101	14	0	2.525	293.214395	293.217642	293.213984	293.224893	0.00875793895	0.00449247322	0	51.2	0	0	3
102	14	0	2.55	293.214478	293.217146	293.213984	293.224094	0.00859718861	0.0044642413	0	51.9	0	0	3
103	14	0	2.575	293.214246	293.216678	293.213984	293.223008	0.00843911744	0.00443194121	0	52.5	0	0	3
104	14	0	2.6	293.213953	293.216246	293.213953	293.222962	0.0083616367	0.00439662342	0	52.5	0	0	3
105	15	0	2.625	293.214004	293.21582	293.213953	293.221635	0.00768211784	0.00435957352	0	56.7	0	0	3
106	15	0	2.65	293.214194	293.215465	293.213953	293.22057	0.00661727777	0.00431730273	0	65.2	0	0	3
