Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.00805886885	0.00805886885	0.00805886885	0.00805886885	0	0	0	0	0	0	3
2	2	0	0.05	6.09167976	3.04986931	0.00805886885	6.09167976	3.04181045	0	0	0	0	0	3
3	2	0	0.075	4.04572622	3.38182162	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
4	2	0	0.1	2.39212339	3.13439706	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
5	2	0	0.125	1.75099143	2.85771593	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
6	2	0	0.15	1.67880761	2.66123121	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
7	2	0	0.175	1.87297883	2.54862373	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
8	3	0	0.2	2.46171024	2.53775954	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
9	3	0	0.225	2.78622749	2.56536709	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
10	3	0	0.25	2.98982263	2.60781265	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
11	3	0	0.275	3.19991154	2.66163982	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
12	3	0	0.3	3.32502944	2.71692229	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
13	3	0	0.325	3.33804653	2.76470107	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
14	3	0	0.35	2.18052838	2.72297445	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
15	3	0	0.375	1.98702067	2.67391087	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
16	3	0	0.4	1.41235975	2.59506392	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
17	4	0	0.425	1.32846449	2.52055807	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
18	4	0	0.45	0.921986897	2.43174856	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
19	4	0	0.475	0.729430413	2.34215287	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
20	4	0	0.5	0.686181049	2.25935428	0.00805886885	6.09167976	3.37376275	0	0	0	0	0	3
21	4	0	0.525	0.522770628	2.28508987	0.522770628	6.09167976	1.12246733	0	0	0	0	0	3
22	4	0	0.55	1.32740028	2.04687589	0.522770628	4.04572622	1.33494572	0	0	0	0	0	3
23	4	0	0.575	1.24026964	1.90660307	0.522770628	3.33804653	1.22779399	0	0	0	0	0	3
24	4	0	0.6	2.93297377	1.93364558	0.522770628	3.33804653	0.951112868	0	0	0	0	0	3
25	5	0	0.625	3.9406485	2.04312844	0.522770628	3.9406485	0.858098009	0	0	0	0	0	3
26	5	0	0.65	3.08681659	2.11352889	0.522770628	3.9406485	0.858098009	0	0	0	0	0	3
27	5	0	0.675	3.81067757	2.21041382	0.522770628	3.9406485	0.858098009	0	0	0	0	0	3
28	5	0	0.7	2.93687549	2.23417209	0.522770628	3.9406485	0.858098009	0	0	0	0	0	3
29	5	0	0.725	2.75007725	2.23236457	0.522770628	3.9406485	0.858098009	0	0	0	0	0	3
30	5	0	0.75	2.07698299	2.18672259	0.522770628	3.9406485	0.858098009	0	0	0	0	0	3
31	5	0	0.775	1.34919154	2.09418659	0.522770628	3.9406485	0.858098009	0	0	0	0	0	3
32	5	0	0.8	0.958466944	1.97585847	0.522770628	3.9406485	0.858098009	0	0	0	0	0	3
33	6	0	0.825	0.71390737	1.84465151	0.522770628	3.9406485	0.878322943	0	0	0	0	0	3
34	6	0	0.85	2.41029219	1.8561397	0.522770628	3.9406485	0.829259358	0	0	0	0	0	3
35	6	0	0.875	3.33038978	1.92330816	0.522770628	3.9406485	0.750412413	0	0	0	0	0	3
36	6	0	0.9	2.54356761	1.97986855	0.522770628	3.9406485	0.675906564	0	0	0	0	0	3
37	6	0	0.925	2.3532067	2.03110566	0.522770628	3.9406485	0.587097054	0	0	0	0	0	3
38	6	0	0.95	2.28189389	2.09910101	0.522770628	3.9406485	0.497501362	0	0	0	0	0	3
39	6	0	0.975	3.16858446	2.22105871	0.522770628	3.9406485	0.440438359	0	0	0	0	0	3
40	7	0	1	2.86389275	2.3299443	0.522770628	3.9406485	0.485292787	0.435310484	0	89.7	0	0	3
41	7	0	1.025	2.39739601	2.42367557	0.71390737	3.9406485	0.579024056	0.435310484	0	75.1	0	0	3
42	7	0	1.05	2.0463363	2.45962237	0.71390737	3.9406485	0.614970858	0.435310484	0	70.7	0	0	3
43	7	0	1.075	1.83224027	2.4892209	0.71390737	3.9406485	0.644569389	0.435310484	0	67.5	0	0	3
44	7	0	1.1	3.13390256	2.51992003	0.71390737	3.9406485	0.675268516	0.435310484	0	64.4	0	0	3
45	7	0	1.125	2.30125429	2.48983815	0.71390737	3.9406485	0.675268516	0.435310484	0	64.4	0	0	3
46	7	0	1.15	4.20195266	2.5022812	0.71390737	4.20195266	0.675268516	0.435310484	0	64.4	0	0	3
47	7	0	1.175	4.4712213	2.56820523	0.71390737	4.4712213	0.723553725	0.440014537	0	60.8	0	0	3
48	8	0	1.2	3.93221225	2.5739926	0.71390737	4.4712213	0.72934109	0.445998515	0	61.1	0	0	3
49	8	0	1.225	4.15515098	2.63200572	0.71390737	4.4712213	0.787354209	0.45065272	0	57.2	0	0	3
50	8	0	1.25	5.24179493	2.75065894	0.71390737	5.24179493	0.906007432	0.4638976	0	51.2	0	0	3
51	8	0	1.275	5.69435827	2.92291491	0.71390737	5.69435827	1.0782634	0.479818005	0	44.4	0	0	3
52	8	0	1.3	5.5328224	3.12213542	0.71390737	5.69435827	1.27748392	0.493085009	0	38.5	0	0	3
53	8	0	1.325	5.06678487	3.31776961	0.71390737	5.69435827	1.4731181	0.504310936	0	34.2	0	0	3
54	8	0	1.35	5.17354699	3.5301334	1.83224027	5.69435827	1.6739937	0.513933158	0	30.7	0	0	3
55	8	0	1.375	5.36022334	3.67060632	1.83224027	5.69435827	1.74729816	0.522272418	0	29.8	0	0	3
56	9	0	1.4	5.56266847	3.7769053	1.83224027	5.69435827	1.79703675	0.529569271	0	29.4	0	0	3
57	9	0	1.425	5.91290495	3.93734994	1.83224027	5.91290495	1.90624428	0.53759617	0	28.2	0	0	3
58	9	0	1.45	6.55881973	4.13761722	1.83224027	6.55881973	2.03851621	0.549165181	0	26.9	0	0	3
