Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.600201391	-0.600201391	-0.600201391	-0.600201391	0	0	0	0	0	0	3
2	2	0	0.05	7563.12665	3781.26322	-0.600201391	7563.12665	3781.86342	0	0	0	0	0	3
3	2	0	0.075	-2634.65303	1642.62447	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
4	2	0	0.1	-935.51712	998.089073	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
5	2	0	0.125	-393.84596	719.702066	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
6	2	0	0.15	115.311962	618.970382	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
7	2	0	0.175	-148.426833	509.342209	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
8	3	0	0.2	105.068405	458.807983	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
9	3	0	0.225	13.1737474	409.293068	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
10	3	0	0.25	41.0134032	372.465102	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
11	3	0	0.275	66.7833963	344.675856	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
12	3	0	0.3	89.4184489	323.404405	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
13	3	0	0.325	85.9844161	305.141329	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
14	3	0	0.35	-18.11522	282.051576	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
15	3	0	0.375	6.58240383	263.686964	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
16	3	0	0.4	6.668185	247.62329	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
17	4	0	0.425	15.0277104	233.941198	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
18	4	0	0.45	-7.96190132	220.502136	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
19	4	0	0.475	8.22272714	209.329536	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
20	4	0	0.5	14.0067921	199.563399	-2634.65303	7563.12665	3781.86342	0	0	0	0	0	3
21	4	0	0.525	-4.73639313	199.356589	-2634.65303	7563.12665	3581.90663	0	0	0	0	0	3
22	4	0	0.55	26.442343	-177.477626	-2634.65303	115.311962	1820.1021	0	0	0	0	0	3
23	4	0	0.575	-14.4321221	-46.4665804	-935.51712	115.311962	1050.82908	0	0	0	0	0	3
24	4	0	0.6	19.1284371	1.26569743	-393.84596	115.311962	509.157922	0	0	0	0	0	3
25	5	0	0.625	131.894406	27.5527157	-148.426833	131.894406	280.321239	0	0	0	0	0	3
26	5	0	0.65	13.9358457	22.4839099	-148.426833	131.894406	280.321239	0	0	0	0	0	3
27	5	0	0.675	39.8439148	31.8974473	-18.11522	131.894406	150.009626	0	0	0	0	0	3
28	5	0	0.7	7.56588597	27.0223213	-18.11522	131.894406	150.009626	0	0	0	0	0	3
29	5	0	0.725	-12.7330907	25.7269794	-18.11522	131.894406	150.009626	0	0	0	0	0	3
30	5	0	0.75	-30.012051	22.1757067	-30.012051	131.894406	161.906457	0	0	0	0	0	3
31	5	0	0.775	-19.9559938	17.8387372	-30.012051	131.894406	161.906457	0	0	0	0	0	3
32	5	0	0.8	-8.59679004	12.9379753	-30.012051	131.894406	161.906457	0	0	0	0	0	3
33	6	0	0.825	-8.62771402	8.20736876	-30.012051	131.894406	161.906457	0	0	0	0	0	3
34	6	0	0.85	-1.29144575	9.04855747	-30.012051	131.894406	161.906457	0	0	0	0	0	3
35	6	0	0.875	152.927967	16.3658356	-30.012051	152.927967	182.940018	0	0	0	0	0	3
36	6	0	0.9	15.2145543	16.7931541	-30.012051	152.927967	182.940018	0	0	0	0	0	3
37	6	0	0.925	21.6880632	17.1261717	-30.012051	152.927967	182.940018	0	0	0	0	0	3
38	6	0	0.95	0.826652535	17.5655994	-30.012051	152.927967	182.940018	0	0	0	0	0	3
39	6	0	0.975	27.9418914	18.5515576	-30.012051	152.927967	182.940018	0	0	0	0	0	3
40	7	0	1	4.37716016	18.070076	-30.012051	152.927967	182.940018	344.444659	0	100	0	0	3
41	7	0	1.025	5.78721448	18.5962564	-30.012051	152.927967	182.940018	344.444659	0	100	0	0	3
42	7	0	1.05	4.88151394	17.518215	-30.012051	152.927967	78.3640277	344.444659	0	100	0	0	3
43	7	0	1.075	4.76114614	18.4778784	-30.012051	152.927967	30.6317499	344.444659	0	100	0	0	3
44	7	0	1.1	12.852455	18.2100011	-30.012051	152.927967	30.6317499	344.444659	0	100	0	0	3
45	7	0	1.125	2.7930944	17.4321276	-30.012051	152.927967	23.6900785	344.444659	0	100	0	0	3
46	7	0	1.15	5.38463813	11.4078529	-30.012051	152.927967	23.6900785	344.444659	0	100	0	0	3
47	7	0	1.175	39.1152944	12.6068743	-30.012051	152.927967	23.6900785	344.444659	0	100	0	0	3
48	8	0	1.2	13.2139076	11.3387787	-30.012051	152.927967	18.8149526	344.444659	0	100	0	0	3
49	8	0	1.225	17.9312287	11.8323665	-30.012051	152.927967	17.5196107	344.444659	0	100	0	0	3
50	8	0	1.25	24.3809123	13.5996999	-30.012051	152.927967	13.968338	344.444659	0	100	0	0	3
51	8	0	1.275	49.375261	17.3800481	-19.9559938	152.927967	10.3888877	344.444659	0	100	0	0	3
52	8	0	1.3	52.6709451	20.8384738	-8.62771402	152.927967	12.631105	344.444659	0	100	0	0	3
53	8	0	1.325	51.3354128	23.6923882	-8.62771402	152.927967	15.4850195	344.444659	0	100	0	0	3
54	8	0	1.35	54.7731774	26.7114783	-1.29144575	152.927967	17.6629208	344.444659	0	100	0	0	3
55	8	0	1.375	60.8046925	29.6684372	0.826652535	152.927967	18.3296585	344.444659	0	100	0	0	3
56	9	0	1.4	64.4162747	25.4535948	0.826652535	64.4162747	18.3296585	344.444659	0	100	0	0	3
57	9	0	1.425	67.2329293	27.9306602	0.826652535	67.2329293	18.3296585	344.444659	0	100	0	0	3
58	9	0	1.45	72.3405674	30.3426843	0.826652535	72.3405674	19.0039055	344.444659	0	100	0	0	3
59	9	0	1.475	72.2093158	33.7418587	2.7930944	72.3405674	22.40308	344.444659	0	100	0	0	3
60	9	0	1.5	77.1157852	36.0834727	2.7930944	77.1157852	24.744694	344.444659	0	100	0	0	3
61	9	0	1.525	79.3458045	39.6534081	2.7930944	79.3458045	28.3146294	344.444659	0	100	0	0	3
62	9	0	1.55	81.8492389	43.2754093	2.7930944	81.8492389	31.9366306	344.444659	0	100	0	0	3
63	9	0	1.575	82.3308986	46.9634752	2.7930944	82.3308986	35.6246965	344.444659	0	100	0	0	3
64	9	0	1.6	100.854421	51.5393455	2.7930944	100.854421	40.2005668	344.444659	0	100	0	0	3
65	10	0	1.625	103.866567	55.8733508	2.7930944	103.866567	44.5345721	344.444659	0	100	0	0	3
66	10	0	1.65	117.543118	61.3376376	5.38463813	117.543118	49.9988589	344.444659	0	100	0	0	3
67	10	0	1.675	115.21186	66.5675053	13.2139076	117.543118	55.2287266	344.444659	0	100	0	0	3
68	10	0	1.7	121.099809	70.4715298	13.2139076	121.099809	59.1327511	344.444659	0	100	0	0	3
69	10	0	1.725	126.22522	75.8530209	17.9312287	126.22522	64.0206544	344.444659	0	100	0	0	3
70	10	0	1.75	127.649255	81.0776888	24.3809123	127.649255	67.4779889	344.444659	0	100	0	0	3
71	10	0	1.775	131.709739	86.1885853	49.375261	131.709739	68.8085372	344.444659	0	100	0	0	3
72	10	0	1.8	133.967167	90.2167713	51.3354128	133.967167	69.3782975	344.444659	0	100	0	0	3
73	11	0	1.825	134.868572	94.130944	51.3354128	134.868572	70.4385558	344.444659	0	100	0	0	3
74	11	0	1.85	134.518806	98.092058	54.7731774	134.868572	72.6384633	344.444659	0	100	0	0	3
75	11	0	1.875	133.013041	101.817766	60.8046925	134.868572	74.0638795	344.444659	0	100	0	0	3
76	11	0	1.9	129.186799	105.074057	64.4162747	134.868572	70.4522973	344.444659	0	100	0	0	3
77	11	0	1.925	125.212194	107.9691	67.2329293	134.868572	67.6356427	344.444659	0	100	0	0	3
78	11	0	1.95	120.945124	110.526824	72.2093158	134.868572	62.6592562	344.444659	0	100	0	0	3
79	11	0	1.975	117.054828	112.656074	72.2093158	134.868572	62.6592562	344.444659	0	100	0	0	3
80	11	0	2	108.604085	114.389159	77.1157852	134.868572	57.7527868	344.444659	0	100	0	0	3
81	12	0	2.025	95.2912533	115.254657	79.3458045	134.868572	55.5227675	344.444659	0	100	0	0	3
