Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.05	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.075	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.1	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.125	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.15	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.175	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.2	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.225	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.25	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.275	0	0	0	0	0	0	0	0	0	0	3
12	3	0	0.3	0	0	0	0	0	0	0	0	0	0	3
13	3	0	0.325	0	0	0	0	0	0	0	0	0	0	3
14	3	0	0.35	0	0	0	0	0	0	0	0	0	0	3
15	3	0	0.375	0	0	0	0	0	0	0	0	0	0	3
16	3	0	0.4	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.425	0	0	0	0	0	0	0	0	0	0	3
18	4	0	0.45	0	0	0	0	0	0	0	0	0	0	3
19	4	0	0.475	0	0	0	0	0	0	0	0	0	0	3
20	4	0	0.5	0	0	0	0	0	0	0	0	0	0	3
21	4	0	0.525	0	0	0	0	0	0	0	0	0	0	3
22	4	0	0.55	0	0	0	0	0	0	0	0	0	0	3
23	4	0	0.575	0	0	0	0	0	0	0	0	0	0	3
24	4	0	0.6	0	0	0	0	0	0	0	0	0	0	3
25	5	0	0.625	0	0	0	0	0	0	0	0	0	0	3
26	5	0	0.65	0	0	0	0	0	0	0	0	0	0	3
27	5	0	0.675	0	0	0	0	0	0	0	0	0	0	3
28	5	0	0.7	0	0	0	0	0	0	0	0	0	0	3
29	5	0	0.725	0	0	0	0	0	0	0	0	0	0	3
30	5	0	0.75	0	0	0	0	0	0	0	0	0	0	3
31	5	0	0.775	0	0	0	0	0	0	0	0	0	0	3
32	5	0	0.8	0	0	0	0	0	0	0	0	0	0	3
33	6	0	0.825	0	0	0	0	0	0	0	0	0	0	3
34	6	0	0.85	0	0	0	0	0	0	0	0	0	0	3
35	6	0	0.875	0	0	0	0	0	0	0	0	0	0	3
36	6	0	0.9	0	0	0	0	0	0	0	0	0	0	3
37	6	0	0.925	0	0	0	0	0	0	0	0	0	0	3
38	6	0	0.95	0	0	0	0	0	0	0	0	0	0	3
39	6	0	0.975	0	0	0	0	0	0	0	0	0	0	3
40	7	0	1	0	0	0	0	0	5e-06	0	0	0	0	3
41	7	0	1.025	0	0	0	0	0	5e-06	0	0	0	0	3
42	7	0	1.05	0	0	0	0	0	5e-06	0	0	0	0	3
43	7	0	1.075	0	0	0	0	0	5e-06	0	0	0	0	3
44	7	0	1.1	0	0	0	0	0	5e-06	0	0	0	0	3
45	7	0	1.125	0	0	0	0	0	5e-06	0	0	0	0	3
46	7	0	1.15	0	0	0	0	0	5e-06	0	0	0	0	3
47	7	0	1.175	0	0	0	0	0	5e-06	0	0	0	0	3
48	8	0	1.2	0	0	0	0	0	5e-06	0	0	0	0	3
49	8	0	1.225	0	0	0	0	0	5e-06	0	0	0	0	3
50	8	0	1.25	0	0	0	0	0	5e-06	0	0	0	0	3
51	8	0	1.275	0	0	0	0	0	5e-06	0	0	0	0	3
52	8	0	1.3	0	0	0	0	0	5e-06	0	0	0	0	3
53	8	0	1.325	0	0	0	0	0	5e-06	0	0	0	0	3
54	8	0	1.35	0	0	0	0	0	5e-06	0	0	0	0	3
55	8	0	1.375	0	0	0	0	0	5e-06	0	0	0	0	3
56	9	0	1.4	0	0	0	0	0	5e-06	0	0	0	0	3
57	9	0	1.425	0	0	0	0	0	5e-06	0	0	0	0	3
58	9	0	1.45	0	0	0	0	0	5e-06	0	0	0	0	3
59	9	0	1.475	0	0	0	0	0	5e-06	0	0	0	0	3
60	9	0	1.5	0	0	0	0	0	5e-06	0	0	0	0	3
61	9	0	1.525	0	0	0	0	0	5e-06	0	0	0	0	3
62	9	0	1.55	0	0	0	0	0	5e-06	0	0	0	0	3
63	9	0	1.575	0	0	0	0	0	5e-06	0	0	0	0	3
64	9	0	1.6	0	0	0	0	0	5e-06	0	0	0	0	3
65	10	0	1.625	0	0	0	0	0	5e-06	0	0	0	0	3
66	10	0	1.65	0	0	0	0	0	5e-06	0	0	0	0	3
67	10	0	1.675	0	0	0	0	0	5e-06	0	0	0	0	3
68	10	0	1.7	0	0	0	0	0	5e-06	0	0	0	0	3
69	10	0	1.725	0	0	0	0	0	5e-06	0	0	0	0	3
70	10	0	1.75	0	0	0	0	0	5e-06	0	0	0	0	3
71	10	0	1.775	0	0	0	0	0	5e-06	0	0	0	0	3
72	10	0	1.8	0	0	0	0	0	5e-06	0	0	0	0	3
73	11	0	1.825	0	0	0	0	0	5e-06	0	0	0	0	3
74	11	0	1.85	0	0	0	0	0	5e-06	0	0	0	0	3
75	11	0	1.875	0	0	0	0	0	5e-06	0	0	0	0	3
76	11	0	1.9	0	0	0	0	0	5e-06	0	0	0	0	3
77	11	0	1.925	0	0	0	0	0	5e-06	0	0	0	0	3
78	11	0	1.95	0	0	0	0	0	5e-06	0	0	0	0	3
79	11	0	1.975	0	0	0	0	0	5e-06	0	0	0	0	3
80	11	0	2	0	0	0	0	0	5e-06	0	0	0	0	3
81	12	0	2.025	0	0	0	0	0	5e-06	0	0	0	0	3
82	12	0	2.05	0	0	0	0	0	5e-06	0	0	0	0	3
83	12	0	2.075	0	0	0	0	0	5e-06	0	0	0	0	3
84	12	0	2.1	0	0	0	0	0	5e-06	0	0	0	0	3
85	12	0	2.125	0	0	0	0	0	5e-06	0	0	0	0	3
86	12	0	2.15	0	0	0	0	0	5e-06	0	0	0	0	3
87	12	0	2.175	0	0	0	0	0	5e-06	0	0	0	0	3
88	12	0	2.2	0	0	0	0	0	5e-06	0	0	0	0	3
89	13	0	2.225	0	0	0	0	0	5e-06	0	0	0	0	3
90	13	0	2.25	0	0	0	0	0	5e-06	0	0	0	0	3
91	13	0	2.275	0	0	0	0	0	5e-06	0	0	0	0	3
92	13	0	2.3	0	0	0	0	0	5e-06	0	0	0	0	3
93	13	0	2.325	0	0	0	0	0	5e-06	0	0	0	0	3
94	13	0	2.35	0	0	0	0	0	5e-06	0	0	0	0	3
95	13	0	2.375	0	0	0	0	0	5e-06	0	0	0	0	3
96	13	0	2.4	0	0	0	0	0	5e-06	0	0	0	0	3
97	14	0	2.425	0	0	0	0	0	5e-06	0	0	0	0	3
98	14	0	2.45	0	0	0	0	0	5e-06	0	0	0	0	3
99	14	0	2.475	0	0	0	0	0	5e-06	0	0	0	0	3
100	14	0	2.5	0	0	0	0	0	5e-06	0	0	0	0	3
101	14	0	2.525	0	0	0	0	0	5e-06	0	0	0	0	3
102	14	0	2.55	0	0	0	0	0	5e-06	0	0	0	0	3
103	14	0	2.575	0	0	0	0	0	5e-06	0	0	0	0	3
104	14	0	2.6	0	0	0	0	0	5e-06	0	0	0	0	3
105	15	0	2.625	0	0	0	0	0	5e-06	0	0	0	0	3
106	15	0	2.65	0	0	0	0	0	5e-06	0	0	0	0	3
107	15	0	2.675	0	0	0	0	0	5e-06	0	0	0	0	3
108	15	0	2.7	0	0	0	0	0	5e-06	0	0	0	0	3
109	15	0	2.725	0	0	0	0	0	5e-06	0	0	0	0	3
