Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.0306374706	-0.0306374706	-0.0306374706	-0.0306374706	0	0	0	0	0	0	3
2	2	0	0.05	-39.1737957	-19.6022166	-39.1737957	-0.0306374706	19.5715791	0	0	0	0	0	3
3	2	0	0.075	-16.0223386	-18.4089239	-39.1737957	-0.0306374706	19.5715791	0	0	0	0	0	3
4	2	0	0.1	-6.13780673	-15.3411446	-39.1737957	-0.0306374706	19.5715791	0	0	0	0	0	3
5	2	0	0.125	-2.25861476	-12.7246386	-39.1737957	-0.0306374706	19.5715791	0	0	0	0	0	3
6	2	0	0.15	-0.56771859	-10.6984853	-39.1737957	-0.0306374706	19.5715791	0	0	0	0	0	3
7	2	0	0.175	3.84247053	-8.6212059	-39.1737957	3.84247053	19.5715791	0	0	0	0	0	3
8	3	0	0.2	5.18175758	-6.89583546	-39.1737957	5.18175758	19.5715791	0	0	0	0	0	3
9	3	0	0.225	8.45554465	-5.19012656	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
10	3	0	0.25	7.73423482	-3.89769042	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
11	3	0	0.275	3.59314427	-3.21670545	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
12	3	0	0.3	-4.14471886	-3.2940399	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
13	3	0	0.325	-10.6831407	-3.86243227	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
14	3	0	0.35	-7.19997325	-4.10082806	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
15	3	0	0.375	-10.541164	-4.53018379	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
16	3	0	0.4	-9.60790924	-4.84754163	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
17	4	0	0.425	-15.6456626	-5.48272521	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
18	4	0	0.45	-7.98447518	-5.62171132	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
19	4	0	0.475	-6.33143067	-5.65906497	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
20	4	0	0.5	-19.2438967	-6.33830656	-39.1737957	8.45554465	19.5715791	0	0	0	0	0	3
21	4	0	0.525	-8.87967891	-6.78075863	-39.1737957	8.45554465	16.3855111	0	0	0	0	0	3
22	4	0	0.55	-3.41771005	-4.99295435	-19.2438967	8.45554465	15.1922185	0	0	0	0	0	3
23	4	0	0.575	-14.275038	-4.90558932	-19.2438967	8.45554465	12.1244392	0	0	0	0	0	3
24	4	0	0.6	-4.94614624	-4.8460063	-19.2438967	8.45554465	9.50793319	0	0	0	0	0	3
25	5	0	0.625	-15.6971911	-5.51793512	-19.2438967	8.45554465	7.48177985	0	0	0	0	0	3
26	5	0	0.65	-8.1674665	-5.89792251	-19.2438967	8.45554465	5.40450045	0	0	0	0	0	3
27	5	0	0.675	-11.9622779	-6.68815993	-19.2438967	8.45554465	3.67913001	0	0	0	0	0	3
28	5	0	0.7	-13.1202146	-7.60325854	-19.2438967	8.45554465	4.38655309	0	0	0	0	0	3
29	5	0	0.725	-14.2946265	-8.7407671	-19.2438967	7.73423482	5.52406165	0	0	0	0	0	3
30	5	0	0.75	-9.92103691	-9.62353068	-19.2438967	3.59314427	6.40682523	0	0	0	0	0	3
31	5	0	0.775	-6.66965516	-10.1366707	-19.2438967	-3.41771005	6.84263075	0	0	0	0	0	3
32	5	0	0.8	-7.80768208	-10.3198188	-19.2438967	-3.41771005	6.45738654	0	0	0	0	0	3
33	6	0	0.825	-4.33514353	-10.002419	-19.2438967	-3.41771005	6.21899076	0	0	0	0	0	3
34	6	0	0.85	-4.3508906	-9.85996482	-19.2438967	-3.41771005	5.78963503	0	0	0	0	0	3
35	6	0	0.875	-28.7537324	-10.7705932	-28.7537324	-3.41771005	5.92458695	0	0	0	0	0	3
36	6	0	0.9	-6.21958657	-10.6011771	-28.7537324	-3.41771005	5.92458695	0	0	0	0	0	3
37	6	0	0.925	-6.437459	-10.1407669	-28.7537324	-3.41771005	5.92458695	0	0	0	0	0	3
38	6	0	0.95	-13.2146015	-10.4022732	-28.7537324	-3.41771005	5.92458695	0	0	0	0	0	3
39	6	0	0.975	-14.1513715	-10.7932703	-28.7537324	-3.41771005	5.94726399	0	0	0	0	0	3
40	7	0	1	-8.76568244	-10.2693596	-28.7537324	-3.41771005	5.94726399	4.59772711	0	0	0	0	3
41	7	0	1.025	-8.90402638	-10.2705769	-28.7537324	-3.41771005	5.94726399	4.59772711	0	0	0	0	3
42	7	0	1.05	-22.4179883	-11.2205909	-28.7537324	-4.33514353	6.37458456	4.59772711	0	0	0	0	3
43	7	0	1.075	-24.8949445	-11.7515862	-28.7537324	-4.33514353	6.90557989	4.59772711	0	0	0	0	3
44	7	0	1.1	-16.7762017	-11.9908536	-28.7537324	-4.33514353	7.14484729	4.59772711	0	0	0	0	3
45	7	0	1.125	-9.17458326	-12.1922077	-28.7537324	-4.33514353	6.67427262	4.59772711	0	0	0	0	3
46	7	0	1.15	3.21084339	-11.2918251	-28.7537324	3.21084339	6.29428522	4.59772711	0	0	0	0	3
47	7	0	1.175	-5.26422384	-11.1535755	-28.7537324	3.21084339	5.5040478	4.59772711	0	0	0	0	3
48	8	0	1.2	-2.68640568	-10.7118673	-28.7537324	3.21084339	4.58894919	4.59772711	0	0	0	0	3
49	8	0	1.225	-5.65715614	-10.3564835	-28.7537324	3.21084339	3.45144063	4.59772711	0	0	0	0	3
50	8	0	1.25	-3.66742704	-9.85042643	-28.7537324	3.21084339	2.56867705	4.59772711	0	0	0	0	3
51	8	0	1.275	-11.6648197	-9.93346371	-28.7537324	3.21084339	2.3417813	4.59772711	0	0	0	0	3
52	8	0	1.3	-6.65563217	-9.93279594	-28.7537324	3.21084339	2.3417813	4.59772711	0	0	0	0	3
53	8	0	1.325	-1.52067192	-9.63341451	-28.7537324	3.21084339	2.55879322	4.59772711	0	0	0	0	3
54	8	0	1.35	-1.52402612	-9.49955177	-28.7537324	3.21084339	2.69265596	4.59772711	0	0	0	0	3
55	8	0	1.375	-0.662828249	-9.32392976	-28.7537324	3.21084339	2.86827797	4.59772711	0	0	0	0	3
56	9	0	1.4	1.13970169	-7.9004329	-24.8949445	3.21084339	4.29177483	4.59772711	0	0	0	0	3
57	9	0	1.425	2.73814722	-7.47387415	-24.8949445	3.21084339	4.71833359	4.59772711	0	0	0	0	3
58	9	0	1.45	2.5126765	-7.04767722	-24.8949445	3.21084339	5.14453051	4.59772711	0	0	0	0	3
59	9	0	1.475	1.99780663	-6.32327683	-24.8949445	3.21084339	5.8689309	4.59772711	0	0	0	0	3
60	9	0	1.5	0.280159601	-5.63606107	-24.8949445	3.21084339	6.55614667	4.59772711	0	0	0	0	3
61	9	0	1.525	1.36512192	-5.15364181	-24.8949445	3.21084339	7.03856592	4.59772711	0	0	0	0	3
62	9	0	1.55	1.98204672	-4.63525738	-24.8949445	3.21084339	7.55695035	4.59772711	0	0	0	0	3
63	9	0	1.575	3.60481421	-3.39607631	-24.8949445	3.60481421	8.79613143	4.59772711	0	0	0	0	3
64	9	0	1.6	1.42726768	-2.14263763	-16.7762017	3.60481421	10.0495701	4.59772711	0	0	0	0	3
65	10	0	1.625	2.91998289	-1.20472408	-11.6648197	3.60481421	10.9874837	4.59772711	0	0	0	0	3
66	10	0	1.65	-0.696272983	-0.800995018	-11.6648197	3.60481421	10.4908301	4.59772711	0	0	0	0	3
67	10	0	1.675	1.12626697	-0.900260562	-11.6648197	3.60481421	10.3525805	4.59772711	0	0	0	0	3
68	10	0	1.7	1.25205902	-0.589961378	-11.6648197	3.60481421	10.1219059	4.59772711	0	0	0	0	3
69	10	0	1.725	1.65143476	-0.383397548	-11.6648197	3.60481421	9.973086	4.59772711	0	0	0	0	3
70	10	0	1.75	2.06579991	-0.0156377358	-11.6648197	3.60481421	9.91782597	4.59772711	0	0	0	0	3
71	10	0	1.775	1.36211281	0.223864162	-11.6648197	3.60481421	10.1573279	4.59772711	0	0	0	0	3
72	10	0	1.8	0.716315183	0.813442013	-6.65563217	3.60481421	10.2604464	4.59772711	0	0	0	0	3
73	11	0	1.825	0.090245379	1.13467428	-1.52402612	3.60481421	5.12884033	4.59772711	0	0	0	0	3
74	11	0	1.85	-0.517213641	1.182458	-1.52402612	3.60481421	5.12884033	4.59772711	0	0	0	0	3
75	11	0	1.875	-1.17476135	1.19908966	-1.17476135	3.60481421	4.77957556	4.59772711	0	0	0	0	3
76	11	0	1.9	-1.67431484	1.15092363	-1.67431484	3.60481421	5.27912906	4.59772711	0	0	0	0	3
77	11	0	1.925	-1.87280117	1.00747111	-1.87280117	3.60481421	5.47761538	4.59772711	0	0	0	0	3
