Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101155.226	101155.226	101155.226	101155.226	0	0	0	0	0	0	3
2	2	0	0.05	8903492.87	4502324.05	101155.226	8903492.87	4401168.82	0	0	0	0	0	3
3	2	0	0.075	-3996849.5	1669266.2	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
4	2	0	0.1	-1524629.42	870792.293	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
5	2	0	0.125	7710.91637	698176.018	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
6	2	0	0.15	328788.375	636611.41	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
7	2	0	0.175	299949.279	588516.82	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
8	3	0	0.2	433391.982	569126.215	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
9	3	0	0.225	320817.602	541536.37	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
10	3	0	0.25	246869.731	512069.706	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
11	3	0	0.275	206309.48	484273.322	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
12	3	0	0.3	176919.244	458660.482	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
13	3	0	0.325	149829.011	434904.215	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
14	3	0	0.35	-82660.7075	397935.292	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
15	3	0	0.375	111169.54	378817.575	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
16	3	0	0.4	66692.2073	359309.739	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
17	4	0	0.425	111165.605	344713.026	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
18	4	0	0.45	65665.6799	329210.395	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
19	4	0	0.475	93522.4607	316805.767	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
20	4	0	0.5	105312.886	306231.123	-3996849.5	8903492.87	4401168.82	0	0	0	0	0	3
