Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	293.199763	293.199763	293.199763	293.199763	0	0	0	0	0	0	3
2	2	0	0.05	293.198846	293.199304	293.198846	293.199763	0.000458942761	0	0	0	0	0	3
3	2	0	0.075	293.199874	293.199494	293.198846	293.199874	0.000458942761	0	0	0	0	0	3
4	2	0	0.1	293.200133	293.199654	293.198846	293.200133	0.000458942761	0	0	0	0	0	3
5	2	0	0.125	293.200182	293.19976	293.198846	293.200182	0.000458942761	0	0	0	0	0	3
6	2	0	0.15	293.200211	293.199835	293.198846	293.200211	0.000530413639	0	0	0	0	0	3
7	2	0	0.175	293.200216	293.199889	293.198846	293.200216	0.000584878778	0	0	0	0	0	3
8	3	0	0.2	293.200168	293.199924	293.198846	293.200216	0.0006197711	0	0	0	0	0	3
9	3	0	0.225	293.200152	293.19995	293.198846	293.200216	0.000645084483	0	0	0	0	0	3
10	3	0	0.25	293.200164	293.199971	293.198846	293.200216	0.000666542343	0	0	0	0	0	3
11	3	0	0.275	293.200219	293.199994	293.198846	293.200219	0.000689065153	0	0	0	0	0	3
12	3	0	0.3	293.19456	293.199541	293.19456	293.200219	0.000689065153	0	0	0	0	0	3
13	3	0	0.325	293.200653	293.199626	293.19456	293.200653	0.000689065153	0	0	0	0	0	3
14	3	0	0.35	293.252414	293.203397	293.19456	293.252414	0.00409239022	0	0	0	0	0	3
15	3	0	0.375	293.209436	293.203799	293.19456	293.252414	0.00449501392	0	0	0	0	0	3
16	3	0	0.4	293.219402	293.204775	293.19456	293.252414	0.00547018607	0	0	0	0	0	3
17	4	0	0.425	293.209622	293.20506	293.19456	293.252414	0.00575534647	0	0	0	0	0	3
18	4	0	0.45	293.219766	293.205877	293.19456	293.252414	0.0065723476	0	0	0	0	0	3
19	4	0	0.475	293.213752	293.206291	293.19456	293.252414	0.00698683951	0	0	0	0	0	3
20	4	0	0.5	293.211271	293.20654	293.19456	293.252414	0.00723582511	0	0	0	0	0	3
21	4	0	0.525	293.212637	293.207184	293.19456	293.252414	0.00787950618	0	0	0	0	0	3
22	4	0	0.55	293.202302	293.207357	293.19456	293.252414	0.00786260788	0	0	0	0	0	3
23	4	0	0.575	293.212072	293.207967	293.19456	293.252414	0.00842601192	0	0	0	0	0	3
24	4	0	0.6	293.197393	293.20783	293.19456	293.252414	0.00842601192	0	0	0	0	0	3
25	5	0	0.625	293.181177	293.20688	293.181177	293.252414	0.00842601192	0	0	0	0	0	3
