Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	2	0	0.05
3	2	0	0.075
4	2	0	0.1
5	2	0	0.125
6	2	0	0.15
7	2	0	0.175
8	3	0	0.2
9	3	0	0.225
10	3	0	0.25
11	3	0	0.275
12	3	0	0.3
13	3	0	0.325
14	3	0	0.35
15	3	0	0.375
16	3	0	0.4
17	4	0	0.425
18	4	0	0.45
19	4	0	0.475
20	4	0	0.5
21	4	0	0.525
22	4	0	0.55
23	4	0	0.575
24	4	0	0.6
25	5	0	0.625
26	5	0	0.65
27	5	0	0.675
28	5	0	0.7
29	5	0	0.725
30	5	0	0.75
31	5	0	0.775
32	5	0	0.8
33	6	0	0.825
34	6	0	0.85
35	6	0	0.875
36	6	0	0.9
37	6	0	0.925
38	6	0	0.95
39	6	0	0.975
40	7	0	1
41	7	0	1.025
42	7	0	1.05
43	7	0	1.075
44	7	0	1.1
45	7	0	1.125
46	7	0	1.15
47	7	0	1.175
48	8	0	1.2
49	8	0	1.225
50	8	0	1.25
51	8	0	1.275
52	8	0	1.3
53	8	0	1.325
54	8	0	1.35
55	8	0	1.375
56	9	0	1.4
57	9	0	1.425
58	9	0	1.45
59	9	0	1.475
60	9	0	1.5
61	9	0	1.525
62	9	0	1.55
63	9	0	1.575
64	9	0	1.6
65	10	0	1.625
66	10	0	1.65
67	10	0	1.675
68	10	0	1.7
69	10	0	1.725
70	10	0	1.75
71	10	0	1.775
72	10	0	1.8
73	11	0	1.825
74	11	0	1.85
75	11	0	1.875
76	11	0	1.9
77	11	0	1.925
78	11	0	1.95
79	11	0	1.975
80	11	0	2
81	12	0	2.025
82	12	0	2.05
83	12	0	2.075
84	12	0	2.1
85	12	0	2.125
86	12	0	2.15
87	12	0	2.175
88	12	0	2.2
89	13	0	2.225
90	13	0	2.25
91	13	0	2.275
92	13	0	2.3
93	13	0	2.325
94	13	0	2.35
95	13	0	2.375
96	13	0	2.4
97	14	0	2.425
98	14	0	2.45
99	14	0	2.475
100	14	0	2.5
101	14	0	2.525
102	14	0	2.55
103	14	0	2.575
104	14	0	2.6
105	15	0	2.625
106	15	0	2.65
107	15	0	2.675
108	15	0	2.7
109	15	0	2.725
